Topic,Subtopic,Pattern,Question,A,B,C,D,Answer,Source
English,General,Standard MCQ,He is ______ honorable man who always stands by his word.,a,an,the,Zero article,an,data1
English,General,Standard MCQ,"If we want to maintain discipline, we must comply ______ the established regulations.",with,to,by,for,with,data1
English,General,Standard MCQ,She has always been incredibly proficient ______ multi-tasking under pressure.,at,in,with,for,in,data1
English,General,Standard MCQ,The cashier was ultimately accused ______ embezzling office funds.,for,with,of,on,of,data1
English,General,Standard MCQ,One should never hanker ______ temporary wealth or fame.,over,for,along,after,after,data1
English,General,Standard MCQ,I met an old school acquaintance in the market ______ year ago.,a,an,the,Zero article,a,data1
English,General,Standard MCQ,"By the time the fire engine arrived, the villagers ______ already put out the fire.",have,were,had,would have,had,data1
English,General,Standard MCQ,The quality of these newly imported stationeries ______ not up to the mark.,are,is,were,being,is,data1
English,General,Standard MCQ,"Your sister lives in Shillong, ______?",isn't she,doesn't she,lives she,won't she,doesn't she,data1
English,General,Standard MCQ,She has been suffering ______ severe migraine since yesterday.,with,from,of,by,from,data1
English,General,Standard MCQ,The Chief Guest made an ______ appeal to the youth to preserve local ecosystems.,early,arrogant,earnest,immediate,earnest,data1
English,General,Standard MCQ,Neither the headmaster nor the teachers ______ present at the emergency meeting.,was,were,is,has been,were,data1
English,General,Standard MCQ,"In terms of professional experience, he is superior ______ all his immediate peers.",than,over,to,by,to,data1
English,General,Standard MCQ,The police ______ patrolling the streets to keep anti-social elements at bay.,is,was,has been,are,are,data1
English,General,Standard MCQ,Scarcely had he stepped out of the office ______ it began to rain heavily.,than,when,then,while,when,data1
English,General,Standard MCQ,"Choose the option that best expresses the meaning of: ""At the eleventh hour""",Too early in the morning,At the very last moment,To be extremely late for work,Right in the middle of a crisis,At the very last moment,data1
English,General,Standard MCQ,"Choose the option that best expresses the meaning of: ""Bite the bullet""",To engage in a physical fight,To act in a reckless manner,To face a grim situation with courage,To back out of an agreement,To face a grim situation with courage,data1
English,General,Standard MCQ,"Choose the option that best expresses the meaning of: ""Gift of the gab""",A highly expensive present,A natural talent for speaking eloquently,"Having a sharp, critical mind",The habit of boasting constantly,A natural talent for speaking eloquently,data1
English,General,Standard MCQ,"Choose the option that best expresses the meaning of: ""Burn the candle at both ends""",To be highly extravagant with money,To perform two difficult tasks at once,To exhaust one's energies by working excessively hard,To create unnecessary conflict in a peaceful place,To exhaust one's energies by working excessively hard,data1
English,General,Standard MCQ,"Choose the option that best expresses the meaning of: ""Turn a deaf ear""",To suffer from sudden hearing loss,To deliberately ignore requests or advice,To listen with utmost attention,To make peace with an enemy,To deliberately ignore requests or advice,data1
English,General,Standard MCQ,"Choose the option that best expresses the meaning of: ""Feather one's nest""",To decorate one's home beautifully,"To make money unfairly, often at the expense of others",To build a secure and peaceful future,To act in an eccentric manner,"To make money unfairly, often at the expense of others",data1
English,General,Standard MCQ,"Choose the option that best expresses the meaning of: ""Spill the beans""",To waste valuable raw materials,To reveal a secret prematurely,To make a complete mess of an assignment,To talk in an impolite tone,To reveal a secret prematurely,data1
English,General,Standard MCQ,"Choose the option that best expresses the meaning of: ""Leave no stone unturned""",To search frantically for lost property,To construct buildings without proper plans,To use all possible efforts and resources to achieve a goal,To remain completely passive during a crisis,To use all possible efforts and resources to achieve a goal,data1
English,General,Standard MCQ,"Choose the option that best expresses the meaning of: ""Cry over spilt milk""",To complain about tiny physical injuries,To regret past actions that cannot be undone,To ask for help when it is not needed,To act in a childish way during discussions,To regret past actions that cannot be undone,data1
English,General,Standard MCQ,"Choose the option that best expresses the meaning of: ""Under the weather""",To be caught in heavy rain,To feel slightly unwell or sick,To enjoy beautiful pleasant days,To be extremely depressed,To feel slightly unwell or sick,data1
English,General,Standard MCQ,"Replace the phrase with a single word: ""One who looks at the bright side of things""",Pessimist,Philanthropist,Optimist,Idealist,Optimist,data1
English,General,Standard MCQ,"Replace the phrase with a single word: ""A person who loves and collects books""",Bibliophile,Bibliography,Biographer,Polyglot,Bibliophile,data1
English,General,Standard MCQ,"Replace the phrase with a single word: ""An office or post with high salary but no work""",Honorary,Sinecure,Autocracy,Gratis,Sinecure,data1
English,General,Standard MCQ,"Replace the phrase with a single word: ""That which is no longer in use or fashion""",Ancient,Obsolete,Primitive,Extinct,Obsolete,data1
English,General,Standard MCQ,"Replace the phrase with a single word: ""A person who is fluent in many languages""",Linguist,Polyglot,Bilingual,Rhetorician,Polyglot,data1
English,General,Standard MCQ,"Replace the phrase with a single word: ""One who is present everywhere at the same time""",Omniscient,Omnipresent,Omnipotent,Ubiquity,Omnipresent,data1
English,General,Standard MCQ,"Replace the phrase with a single word: ""The scientific study of birds""",Zoology,Ornithology,Entomology,Botany,Ornithology,data1
English,General,Standard MCQ,"Replace the phrase with a single word: ""The act of killing a king""",Homicide,Patricide,Regicide,Genocide,Regicide,data1
English,General,Standard MCQ,"Choose the word most similar in meaning (Synonym) to: ""Diligent""",Lazy,Industrious,Clever,Proud,Industrious,data1
English,General,Standard MCQ,"Choose the word most similar in meaning (Synonym) to: ""Transient""",Permanent,Temporary,Transparent,Beautiful,Temporary,data1
English,General,Standard MCQ,"Choose the word most similar in meaning (Synonym) to: ""Gregarious""",Aggressive,Sociable,Introverted,Talkative,Sociable,data1
English,General,Standard MCQ,"Choose the word most similar in meaning (Synonym) to: ""Mitigate""",Aggravate,Alleviate,Provoke,Destroy,Alleviate,data1
English,General,Standard MCQ,"Choose the word most similar in meaning (Synonym) to: ""Obstinate""",Flexible,Stubborn,Friendly,Moody,Stubborn,data1
English,General,Standard MCQ,"Choose the word most opposite in meaning (Antonym) to: ""Ephemeral""",Short-lived,Permanent,Virtual,Ancient,Permanent,data1
English,General,Standard MCQ,"Choose the word most opposite in meaning (Antonym) to: ""Benevolent""",Kind,Malevolent,Selfish,Cruel,Malevolent,data1
English,General,Standard MCQ,"Choose the word most opposite in meaning (Antonym) to: ""Audacious""",Daring,Timid,Reckless,Impolite,Timid,data1
English,General,Standard MCQ,"Choose the word most opposite in meaning (Antonym) to: ""Adversity""",Poverty,Prosperity,Misery,Luck,Prosperity,data1
English,General,Standard MCQ,"Choose the word most opposite in meaning (Antonym) to: ""Clandestine""",Secret,Open,Hidden,Dark,Open,data1
