Topic,Subtopic,Pattern,Question,A,B,C,D,Answer,Source
GK,Polity,Standard MCQ,The Constitution of India was adopted on:,26th January 1950,26th November 1949,15th August 1947,26th January 1949,26th November 1949,NewDataTxt
GK,Polity,Standard MCQ,Who is the custodian of the fundamental rights in India?,Parliament,President,Supreme Court,Prime Minister,Supreme Court,NewDataTxt
GK,Geography,Standard MCQ,The term of a governor of a state is:,4 years,5 years,6 years,3 years,5 years,NewDataTxt
GK,Polity,Standard MCQ,Minimum age to become the President of India is:,25 years,30 years,35 years,40 years,35 years,NewDataTxt
GK,Polity,Standard MCQ,Which article of the Constitution deals with the 'Right to Equality'?,Article 14-18,Article 19-22,Article 23-24,Article 25-28,Article 14-18,NewDataTxt
GK,Polity,Standard MCQ,The Rajya Sabha is a permanent house and cannot be dissolved. Its members retire every:,2 years,3 years,5 years,6 years,2 years,NewDataTxt
GK,General,Standard MCQ,Who appoints the chief justice of India?,Prime Minister,President,Parliament,Law Minister,President,NewDataTxt
GK,Polity,Standard MCQ,The Preamble of the Indian Constitution is based on:,Objective resolution,Nehru Report,Government of India Act 1935,Mountbatten Plan,Objective resolution,NewDataTxt
GK,Polity,Standard MCQ,Which schedule of the Constitution deals with the languages?,7th schedule,8th schedule,9th schedule,10th schedule,8th schedule,NewDataTxt
GK,Geography,Standard MCQ,The Concept of 'Directive principles of state policy' was borrowed from:,USA,USSR,Ireland,United Kingdom,Ireland,NewDataTxt
GK,Geography,Standard MCQ,The Indus valley civilization was discovered in:,1921,1922,1925,1930,1921,NewDataTxt
GK,General,Standard MCQ,Who was the founder of Buddhism?,Mahavira,Gautama Buddha,Ashoka,Guru Nanak,Gautama Buddha,NewDataTxt
GK,History,Standard MCQ,The battle of Plassey was fought in the year:,1757,1764,1526,1857,1757,NewDataTxt
GK,Polity,Standard MCQ,Who was the first Governor-General of Bengal?,Lord Clive,Warren Hastings,Lord William Bentinck,Lord Canning,Warren Hastings,NewDataTxt
GK,History,Standard MCQ,"The slogan ""swaraj is my birthright and I shall have it"" was given by:",Mahatma Gandhi,Bal Gangadhar Tilak,Subhash Chandra Bose,Lala Lajpat Rai,Bal Gangadhar Tilak,NewDataTxt
