Topic,Subtopic,Pattern,Question,A,B,C,D,Answer,Source
English,Fill in the Blanks,Find Fill in the Blanks,Hippopotamus loves to wallow in ___ mud.,an,the,a,Zero article,Zero article,3.pdf
English,Fill in the Blanks,Find Fill in the Blanks,The Principal welcomed the students ___ the school.,at,in,to,into,to,3.pdf
English,Fill in the Blanks,Find Fill in the Blanks,I love having ___ eggs for breakfast.,an,the,a,Zero article,Zero article,3.pdf
English,Fill in the Blanks,Find Fill in the Blanks,I have ___ of things on my mind.,much,a lot,many,a group,a lot,3.pdf
English,Fill in the Blanks,Find Fill in the Blanks,The members of the choir ___ every Saturday.,meets,meet,met,had met,meet,3.pdf
English,Fill in the Blanks,Find Fill in the Blanks,The Aryans are ___ European stock.,of,from,through,mainly,of,3.pdf
English,Fill in the Blanks,Find Fill in the Blanks,John was ___ at the surprising turn of events.,surprised,amazed,happy,sad,amazed,3.pdf
English,Fill in the Blanks,Find Fill in the Blanks,Such a gruesome event ___ never happened in the locality before.,have,had,has,could,had,3.pdf
English,Fill in the Blanks,Find Fill in the Blanks,Cleopatra was said to be an ___ beauty in her time.,incomparable,unparalleled,outstanding,unmatched,unparalleled,3.pdf
English,Fill in the Blanks,Find Fill in the Blanks,The delegates ___ since morning to meet the CEO.,waits,will wait,were waiting,waiting,were waiting,3.pdf
English,Fill in the Blanks,Find Fill in the Blanks,The divers dived deep ___ the sea to locate the ship.,under,beyond,into,below,into,3.pdf
English,Fill in the Blanks,Find Fill in the Blanks,"By the time the concert ended, the children ___ already asleep.",are,were,had been,has been,were,3.pdf
English,Fill in the Blanks,Find Fill in the Blanks,"Despite ___, the Judge was moved to pity.",his nice nature,his humour,his hard-heartedness,his busyness,his hard-heartedness,3.pdf
English,Fill in the Blanks,Find Fill in the Blanks,The girls cheered ___ when their team scored a goal.,bravely,loudly,wildly,softly,wildly,3.pdf
English,Fill in the Blanks,Find Fill in the Blanks,"You've understood the question, ___?",haven't you,hasn't you,have you not,aren't you,haven't you,3.pdf
English,Fill in the Blanks,Find Fill in the Blanks,Neither of the candidates ___ for the debate.,shows up,showed up,have shown up,are showing up,showed up,3.pdf
