Topic,Subtopic,Pattern,Question,A,B,C,D,Answer,Source
GK,General,Standard MCQ,In which place Lord Buddha has been enlightened?,Lumbini,Kushinagar,Sarnath,Bodhgaya,Bodhgaya,Lucent
GK,General,Standard MCQ,"Who is the founder of ""Arya Samaj""?",Swami Dayanand,Ramakrishna Paramahansa,Raja Rammohan Roy,Swami Vivekananda,Swami Dayanand,Lucent
GK,General,Standard MCQ,"What is the sign language of ""Punjabi""?",Bengali,Devanagari,Shahmukhi,Gurmukhi,Gurmukhi,Lucent
GK,General,Standard MCQ,What is the Southern Most area of Indian land?,Kavaratti,Indira Point,Kanyakumari,Indira Col,Kanyakumari,Lucent
GK,Geography,Standard MCQ,The sun rises in which state of India firstly?,Arunachal Pradesh,Nagaland,Assam,Manipur,Arunachal Pradesh,Lucent
GK,Science,Standard MCQ,Insulin used to cure which disease?,Diabetes,Tuberculosis,Cancer,Malaria,Diabetes,Lucent
GK,Geography,Standard MCQ,"""Bihu"" is a famous festival of which state?",West Bengal,Sikkim,Assam,Odisha,Assam,Lucent
GK,Science,Standard MCQ,What vitamin is found in 'Gooseberry'?,Vitamin D,Vitamin A,Vitamin B,Vitamin C,Vitamin C,Lucent
GK,Polity,Standard MCQ,Who was the first governor general of India?,Lord William Bentinck,Lord Canning,Warren Hastings,Lord Mountbatten,Lord William Bentinck,Lucent
GK,History,Standard MCQ,In which country 'Paper' was invented?,China,Egypt,India,Greece,China,Lucent
GK,Science,Standard MCQ,'Phyllanthus Emblica' is whose scientific name?,Guava,Gooseberry,Mango,Apple,Gooseberry,Lucent
GK,General,Standard MCQ,What was the childhood name of 'Gautam Buddha'?,Rahul,Siddharth,Gautam,Vardhamana,Siddharth,Lucent
GK,Polity,Standard MCQ,Who is the supreme commander of Indian Armed Forces?,Chief of Defence Staff,Chief Justice,Prime Minister,President,President,Lucent
GK,Science,Standard MCQ,Night Blindness is caused by lack of which vitamin?,Vitamin B,Vitamin A,Vitamin D,Vitamin C,Vitamin A,Lucent
GK,Geography,Standard MCQ,"""Pongal"" is a famous festival of which state?",Tamil Nadu,Kerala,Karnataka,Andhra Pradesh,Tamil Nadu,Lucent
GK,History,Standard MCQ,Who invented 'Television'?,Alexander Graham Bell,J.L. Baird,Thomas Edison,Guglielmo Marconi,J.L. Baird,Lucent
